Nr okr.;Siedziba OKW;Frekwencja;% gàos¢w niewaænych;w tym: z powodu postawienia znaku ?X? obok nazwiska dw¢ch lub wi©kszej liczby kandydat¢w z r¢ænych list;w tym: z powodu niepostawienia znaku ?X? obok nazwiska æadnego kandydata;w tym: z powodu postawienia znaku ?x? wyà•cznie obok nazwiska kandydata z listy. kt¢rej rejestracja zostaàa uniewaæniona;% gàos¢w waænych;1 - Komitet Wyborczy Prawo i SprawiedliwoòÜ;2 - Komitet Wyborczy Platforma Obywatelska RP;3 - Komitet Wyborczy Partia Razem;4 - Komitet Wyborczy KORWiN;5 - Komitet Wyborczy Polskie Stronnictwo Ludowe;6 - Koalicyjny Komitet Wyborczy Zjednoczona Lewica SLD+TR+PPS+UP+Zieloni;7 - Komitet Wyborczy Wyborc¢w ?Kukiz'15?;8 - Komitet Wyborczy Nowoczesna Ryszarda Petru;9 - Komitet Wyborczy Wyborc¢w JOW Bezpartyjni;10 - Komitet Wyborczy Wyborc¢w Zbigniewa Stonogi;11 - Komitet Wyborczy Wyborc¢w  Ruch Spoàeczny Rzeczypospolitej Polskiej;12 - Komitet Wyborczy Wyborc¢w Zjednoczeni dla ól•ska;13 - Komitet Wyborczy Samoobrona;14 - Komitet Wyborczy Wyborc¢w Grzegorza Brauna ?Szcz©òÜ Boæe!?;15 - Komitet Wyborczy Kongres Nowej Prawicy;16 - Komitet Wyborczy Wyborc¢w MniejszoòÜ Niemiecka;16 - Komitet Wyborczy Wyborc¢w Obywatele do Parlamentu
1;Legnica;46.71;3;73.13;24.87;-;97;35.7;25.24;3.64;4.32;3.89;10.45;9.59;7.15;;;;;;;;;
2;Waàbrzych;44.83;3.21;71.47;23.89;-;96.79;31.15;32.65;3.41;4.3;3.18;8.76;8.81;6.64;1.09;;;;;;;;
3;Wrocàaw;54.08;2.06;66.5;31.11;-;97.94;31.21;30.49;4.21;5.22;2.6;6.1;8.74;10.65;;0.53;;;;0.24;;;
4;Bydgoszcz;47.87;2.77;73.12;24.16;-;97.23;30.2;29.64;3.76;4.54;6.07;10.04;7.77;7.3;;0.68;;;;;;;
5;Toru‰;44.9;3.03;70.89;26.02;-;96.97;33.57;25.77;3.65;3.9;6.75;10.76;8.32;6.5;;0.56;;;0.21;;;;
6;Lublin;52.01;2.23;70.63;26.13;-;97.77;47.57;16.59;2.75;5.00;7.74;5.98;9.32;4.54;;;0.12;;0.12;0.28;;;
7;Cheàm;45.3;2.81;72.25;25.57;-;97.19;48.02;12.31;2.39;4.37;11.39;7.11;10.47;3.75;;;;;0.18;;;;
8;Zielona G¢ra;44.63;3.12;73.41;24.55;-;96.88;28.27;28.21;3.99;4.99;5.12;10.02;8.75;9.99;;0.65;;;;;;;
9;ù¢d´;56.74;1.46;63.15;33.83;-;98.54;29.9;31.28;4.63;4.78;2.7;10.48;7.24;8.99;;;;;;;;;
10;Piotrk¢w Trybunalski;50.26;2.99;74.22;22.64;-;97.01;46.95;15.46;3.06;3.91;7.48;7.47;10.08;5.59;;;;;;;;;
11;Sieradz;48.47;3.01;67.81;29.28;-;96.99;39.93;21.18;3.54;4.1;7.86;8.18;8.92;5.32;;0.52;;;0.19;0.27;;;
12;Krak¢w I (poàudnie);54.46;3.12;79.66;16.91;-;96.88;49.05;20.42;3.26;4.45;3.03;5.33;8.67;5.79;;;;;;;;;
13;Krak¢w II (p¢ànoc);58.81;1.7;64.69;31.27;-;98.3;38.62;24.61;3.88;6.35;2.7;6.38;7.26;9.73;;;;;;0.25;0.23;;
14;Nowy S•cz;52.18;3.15;73.15;24.48;-;96.85;60.56;13.95;2.13;4.31;4.16;2.55;7.83;3.69;;0.52;;;;;0.29;;
15;Tarn¢w;51.85;2.96;73.4;23.24;-;97.04;51.99;14.71;2.43;4.72;8.08;3.41;9.6;4.54;;;;;;0.31;0.22;;
16;Pàock;46.22;3.24;71.09;27.16;-;96.76;43.78;16.44;3.35;4.07;10.66;8.14;8.41;5.15;;;;;;;;;
17;Radom;49.38;2.87;70.8;26.5;-;97.13;47.49;17.55;2.62;3.91;9.42;4.82;8.41;4.81;;0.74;;;;;0.24;;
18;Siedlce;50.56;2.75;66.17;30.78;-;97.25;51.1;13.55;2.66;4.35;10.23;4.35;8.36;4.63;0.28;;0.16;;;0.33;;;
19;Warszawa I (miasto);70.8;0.92;56.32;37.47;-;99.08;29.89;27.54;5.54;6.18;1.00;8.55;7.76;13.39;;;0.25;;;;;;0.18
20;Warszawa II (okr©g);60;1.79;67.21;29.48;-;98.21;38.8;25.12;3.85;4.81;3.8;5.66;7.22;10.01;;0.73;;;;;;;
21;Opole;43.12;3.04;67.63;27.67;-;96.96;27.77;26.23;3.02;3.95;3.68;6.75;12.57;7.14;0.52;;;;;0.22;;8.14;
22;Krosno;47.47;3.1;65.37;27.14;5.13;96.9;53.51;13.76;2.32;4.28;7.28;4.56;9.15;3.97;0.7;0.47;;;;;;;
23;Rzesz¢w;52.56;2.38;68.47;29.28;-;97.62;56.11;13.11;2.29;4.96;4.67;4.42;9.28;4.16;;0.58;;;;0.27;0.15;;
24;Biaàystok;47.1;2.46;60.69;27.42;10.16;97.54;45.38;16.74;2.59;4.66;8.07;7.35;9.07;5.37;;0.48;;;0.14;;0.14;;
25;Gda‰sk;52.55;2.17;67.95;28.74;-;97.83;29.61;34.72;3.98;5.00;3.02;6.59;7.15;9.17;;0.75;;;;;;;
26;Gdynia;51.28;2.82;68.91;28.6;-;97.18;31.22;33.46;4.05;4.43;3.23;6.64;8.02;8.22;;0.75;;;;;;;
27;Bielsko-Biaàa;56.35;2.26;68.53;29.16;-;97.74;40.42;23.57;3.72;4.68;3.42;6.56;9.36;8.27;;;;;;;;;
28;Cz©stochowa;49.83;2.45;70.86;26.43;-;97.55;35.82;20.95;3.64;4.27;4.99;11.12;11.63;6.74;;0.58;;;;0.25;;;
29;Gliwice;49.12;2.28;67.36;30.07;-;97.72;30.51;28.99;4.15;5.09;2.5;7.21;12.19;8.9;;;;;;0.48;;;
30;Rybnik;51.82;2.56;70.55;25.35;-;97.44;39.59;24.21;3.33;4.53;1.79;5.93;11.31;6.33;;;;2.73;;0.24;;;
31;Katowice;53.92;1.95;66.98;30.18;-;98.05;32.92;28.37;4.08;5.55;1.00;6.77;10.05;8.66;;;;2.61;;;;;
32;Sosnowiec;51.41;1.99;70.17;26.25;-;98.01;29.65;25.56;4.44;4.81;2.35;13.97;10.24;8.97;;;;;;
33;Kielce;46.82;2.92;69.09;27.64;-;97.08;42.81;17.25;2.8;4.14;9.51;7.87;9.41;4.98;0.5;0.38;;;0.1;0.25
34;Elbl•g;41.3;3.56;75.24;23.09;-;96.44;31.56;30.12;3.8;4.73;6.69;7.69;8.24;5.82;0.71;0.63;;;;
35;Olsztyn;43.13;2.99;69.88;26.18;-;97.01;30.42;27.07;3.74;5.1;8.44;8.76;8.97;6.82;;0.68;;;;
36;Kalisz;47.27;3.62;70.24;27.34;-;96.38;31.85;24.69;3.17;4.25;10.98;8.82;7.98;7.04;0.54;0.55;;;0.14;
37;Konin;46.64;3.65;71.06;25.9;-;96.35;37.41;20.23;3.98;3.99;6.86;11.77;8.83;6.94;;;;;;
38;Piàa;46.07;3.94;71.74;24.07;-;96.06;27.26;31.02;3.92;4.07;7.66;9.15;9.01;6.98;;0.93;;;;
39;Pozna‰;60.23;1.76;67.22;29.29;-;98.24;23.9;35.65;4.6;4.77;1.91;8.07;6.06;14.49;0.55;;;;;
40;Koszalin;43.63;3.5;75.87;22.09;-;96.5;28.58;30.07;3.9;4.46;4.13;11.38;9.41;8.06;;;;;;
41;Szczecin;47.27;2.66;69.32;28.37;-;97.34;29.09;31.93;4.12;5.33;3.88;8.56;8.42;8.66;;;;;;
